3709359,1,141029,727,700,10163,1,CO010311,1,RTV3709359
3709642,1,141029,712,700,10163,1,CO010311,1,RTV3709642
3709811,1,141029,717,700,10163,1,CO010311,1,RTV3709811
3709441,1,141029,721,700,10163,1,CO010311,1,RTV3709441
3709290,1,141029,725,700,10163,1,CO010311,1,RTV3709290
3709359,1,141029,727,700,10163,2,CO010311,1,RTV3709359
3709936,1,141029,730,700,10163,2,CO010311,1,RTV3709936
3710171,1,141029,731,700,10163,2,CO010311,1,RTV3710171
3709703,1,141029,727,700,12674,3,CO010311,1,RTV3709703
3708106,1,141029,714,700,10321,4,CO010311,1,RTV3708106
3710245,1,141029,714,700,10321,4,CO010311,1,RTV3710245
3710279,1,141029,714,700,10321,4,CO010311,1,RTV3710279
3700262,1,141029,717,700,10321,4,CO010311,1,RTV3700262
3707917,1,141029,719,700,10321,4,CO010311,1,RTV3707917
3711086,1,141030,722,700,10321,4,CO010311,1,RTV3711086
3711094,1,141030,722,700,10321,4,CO010311,1,RTV3711094
3711095,1,141030,722,700,10321,4,CO010311,1,RTV3711095
3710676,1,141029,727,700,10321,4,CO010311,1,RTV3710676
3699519,1,141028,730,700,10321,4,CO010311,1,RTV3699519
3709839,1,141029,713,700,14211,5,CO010311,1,RTV3709839
3710441,1,141029,719,700,14211,6,CO010311,1,RTV3710441
3710747,1,141029,702,700,10342,7,CO010311,1,RTV3710747
3710781,1,141029,702,700,10342,7,CO010311,1,RTV3710781
3710348,1,141029,720,700,10342,7,CO010311,1,RTV3710348
3710269,1,141029,725,700,10342,7,CO010311,1,RTV3710269
